lon,lat,SURF_ppb_O3
14.3307,47.0403,33.60063934326172
13.6394,47.3603,40.82369613647461
11.3924,47.2626,29.568443298339844
11.4169,47.2713,29.14170837402344
11.376,47.3056,39.32185745239258
15.2128,46.8139,33.87601852416992
11.3907,47.2396,32.748268127441406
16.079,47.0474,29.953224182128903
15.3678,46.6519,31.36210060119629
11.8718,47.4286,28.64262580871582
12.0666,47.4886,32.24759292602539
11.5125,47.2781,32.40409469604492
11.958,47.4689,30.700456619262695
10.7357,47.2169,35.19919967651367
10.6823,47.4698,39.13037109375
10.7441,47.4476,36.983158111572266
11.6945,47.35,39.53200149536133
9.9267,47.5292,35.8165168762207
12.766,46.8191,35.57317352294922
9.7432,47.4095,31.37563133239746
9.5975,47.2392,28.11064338684082
9.6505,47.4325,26.663108825683594
12.1724,47.5818,29.228803634643555
16.3498,48.2191,27.376218795776367
16.3614,48.1744,26.720508575439453
9.6406,47.4597,23.83203125
16.4346,48.2031,29.167943954467773
10.0343,47.1289,42.169925689697266
16.397,48.2611,30.226491928100582
16.2972,48.2702,32.54282760620117
9.8229,47.1565,36.36764144897461
16.5256,48.1621,30.545433044433594
16.4761,48.1567,28.277996063232425
13.6709,48.3916,31.411489486694336
16.7664,47.7703,33.3670768737793
12.9583,47.0542,46.66957092285156
15.936,48.7212,32.41445541381836
14.4409,47.8383,35.692604064941406
12.9746,46.6777,34.88318634033203
4.3478,50.8521,22.393115997314453
4.3338,50.8497,24.203685760498047
4.2887,50.8578,26.23822784423828
4.4257,50.8566,23.291683197021484
4.3585,50.7966,27.936166763305664
4.3218,51.3407,18.65900993347168
4.3852,51.2362,22.774166107177734
2.6585,51.1209,33.802947998046875
5.5268,50.9405,28.737966537475582
4.8028,51.3321,27.26236915588379
5.0216,51.1204,27.796489715576172
4.341,51.1703,24.19056510925293
5.2581,51.2151,28.844282150268555
5.4706,50.9279,28.46929168701172
3.7293,51.0583,26.88484764099121
4.4318,51.2097,22.44298934936523
3.2341,51.2135,28.970317840576172
3.8084,51.2031,25.341859817504883
4.4914,51.2521,23.24813461303711
